Nome,Versão,Nota,Posição Primaria,Posição Secundaria,Valor,Variação de Preço P+ou-,Liga,País,Clube,Skills,Perna Ruim,Tendencia ATK/DEF,Ritmo,Chute,Passe,Drible,Defesa,Fisico
Kevin De Bruyne,FUT Centurions,92,CM,CAM,537000,3.24%,Premier League,Belgium,Manchester City,4,5,H \ M,78,90,95,88,66,80
Antunes Coimbra,Squad Found. C.L.,92,CAM,"CM,CF",1940000,2.90%,Icons,Brazil,EA FC ICONS,5,5,H \ M,90,93,92,92,65,73
Eusébio,Squad Found. C.L.,92,CF,ST,2400000,,Icons,Portugal,EA FC ICONS,4,5,H \ M,93,93,85,92,46,79
Kylian Mbappé,IF,92,LW,"LM,CF,ST",2900000,0.34%,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,98,91,81,93,38,80
Kylian Mbappé,Ligue 1 POTM SBC,92,ST,"CF,LW",3630000,0.34%,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,98,91,82,93,38,79
Vinícius Júnior,Thunderstruck,92,LW,LM,1900000,3.41%,LALIGA EA SPORTS,Brazil,Real Madrid,5,4,H \ M,98,86,82,93,32,74
Marcos Cafú,Thunderstruck Icon,92,RWB,RB,1070000,,Icons,Brazil,EA FC ICONS,4,3,H \ M,91,58,85,86,89,84
Neymar Jr,Thunderstruck,92,CAM,"LM,LW",2470000,1.08%,ROSHN Saudi League,Brazil,Al Hilal,5,5,H \ M,89,87,89,96,41,66
Marie Katoto,Thunderstruck,92,ST,CF,110000,1.79%,D1 Arkema,France,Paris SG,4,4,H \ M,87,92,84,88,43,76
Kadidiatou Diani,Thunderstruck,92,RW,"RM,ST",500000,,D1 Arkema,France,OL,4,4,H \ H,92,88,87,91,60,83
Iker Casillas,Thunderstruck Icon,92,GK,,322000,5.01%,Icons,Spain,EA FC ICONS,1,3,M \ M,92,91,87,95,61,91
Lionel Messi,Radioactive,92,CF,"CAM,ST",1110000,1.86%,MLS,Argentina,Inter Miami CF,4,4,L \ L,82,88,91,95,35,68
Karim Benzema,Radioactive,92,CF,ST,596000,3.09%,ROSHN Saudi League,France,Al Ittihad,4,4,M \ M,83,90,85,90,41,81
Zinedine Zidane,Dynasties ICON,92,CAM,CM,1550000,0.14%,Icons,France,EA FC ICONS,5,5,H \ M,85,86,90,90,70,87
Alexia Putellas Segura,Winter Wildcards,92,CM,LW,1450000,3.60%,Liga F,Spain,FC Barcelona,5,5,H \ M,83,91,92,93,74,80
Marco van Basten,Winter Wildcard ICON,92,CAM,"CF,ST",168000,,Icons,Holland,EA FC ICONS,4,4,M \ M,84,87,90,88,40,72
Mohamed Salah,Winter Wildcards,92,ST,"RM,CF,RW",1190000,,Premier League,Egypt,Liverpool,4,3,H \ M,91,92,83,90,48,86
Raúl González Blanco,Winter Wildcard ICON,92,ST,CF,733000,,Icons,Spain,EA FC ICONS,4,5,H \ M,88,92,82,90,47,75
Dennis Bergkamp,Winter Wildcard ICON,92,CM,"RM,LM",160000,,Icons,Holland,EA FC ICONS,4,4,H \ H,85,78,92,88,74,75
Mohamed Salah,TIF,92,RW,RM,997000,4.13%,Premier League,Egypt,Liverpool,4,3,H \ M,92,91,86,91,49,82
Franck Ribéry,TOTY Icon,92,LW,LM,2300000,2.09%,Icons,France,EA FC ICONS,5,5,H \ M,92,90,90,92,42,72
Alex Morgan,Player Moments SBC,92,ST,CF,502300,,NWSL,United States,San Diego Wave,4,5,H \ M,88,92,84,91,50,82
Gianluca Vialli,Hero,91,ST,CF,436000,,Serie A TIM,Italy,HERO,4,4,H \ M,90,91,74,85,44,82
Wesley Sneijder,Hero,91,CAM,"CM,LM",1020000,,Serie A TIM,Holland,HERO,5,5,M \ L,85,87,93,89,56,80
Erling Haaland,normal,91,ST,CF,70000,1.41%,Premier League,Norway,Manchester City,3,3,H \ M,89,93,66,80,45,88
Kylian Mbappé,normal,91,ST,"CF,LW",1490000,,Ligue 1 Uber Eats,France,Paris SG,5,4,H \ L,97,90,80,92,36,78
Alexia Putellas Segura,normal,91,CM,LW,216000,1.37%,Liga F,Spain,FC Barcelona,5,5,H \ M,82,90,91,92,72,78
Kevin De Bruyne,normal,91,CM,CAM,70000,3.45%,Premier League,Belgium,Manchester City,4,5,H \ M,72,88,94,87,65,78
Robert Lewandowski,IF,91,ST,CF,89500,,LALIGA EA SPORTS,Poland,FC Barcelona,4,4,H \ M,77,92,82,88,45,85
Franco Baresi,Icon,91,CB,,115000,,Icons,Italy,EA FC ICONS,2,3,M \ H,73,48,75,70,94,83
Thierry Henry,Icon,91,ST,"CF,LW",720000,,Icons,France,EA FC ICONS,4,4,M \ M,93,90,82,89,51,78
Carlos Alberto Torres,Icon,91,RB,"RWB,CB",716000,0.28%,Icons,Brazil,EA FC ICONS,3,4,H \ M,89,64,80,84,88,85
Marcos Cafú,Icon,91,RWB,RB,534000,,Icons,Brazil,EA FC ICONS,4,3,H \ M,90,56,83,85,88,83
Marco van Basten,Icon,91,ST,CF,85000,5.56%,Icons,Holland,EA FC ICONS,3,4,M \ M,84,92,74,87,37,73
Eusébio,Icon,91,CF,ST,1310000,,Icons,Portugal,EA FC ICONS,4,5,H \ M,92,92,84,91,44,77
Antunes Coimbra,Icon,91,CAM,"CM,CF",940000,5.91%,Icons,Brazil,EA FC ICONS,5,5,H \ M,89,92,91,91,62,71
Sawa,Icon,91,CM,CAM,569000,,Icons,Japan,EA FC ICONS,4,4,H \ H,84,87,91,91,83,76
Roberto Baggio,Icon,91,CAM,CF,115000,1.71%,Icons,Italy,EA FC ICONS,5,4,M \ L,84,82,90,91,38,60
Alexia Putellas Segura,Nike,91,CM,LW,495000,2.75%,Liga F,Spain,FC Barcelona,5,5,H \ M,82,90,91,92,72,78
Harry Kane,IF,91,ST,CF,98500,7.08%,Bundesliga,England,FC Bayern München,3,5,H \ H,70,94,86,85,50,84
Bukayo Saka,Champions League,91,RW,RM,331000,5.16%,Premier League,England,Arsenal,4,4,H \ M,92,87,86,93,66,77
Mohamed Salah,Trailblazers,91,RW,RM,605000,1.63%,Premier League,Egypt,Liverpool,4,3,H \ M,91,90,83,90,47,79
Caroline Graham Hansen,Trailblazers,91,RW,RM,870000,1.14%,Liga F,Norway,FC Barcelona,5,4,H \ M,90,87,89,91,48,76
Ruud Gullit,Squad Found. C.L.,91,CF,"CM,CAM,ST",3850000,2.53%,Icons,Holland,EA FC ICONS,4,5,H \ M,86,89,90,87,82,88
Aitana Bonmatí Conca,FUT Centurions,91,CM,,457000,1.30%,Liga F,Spain,FC Barcelona,4,5,H \ H,82,85,84,92,77,75
Mohamed Salah,PL POTM SBC,91,RW,RM,842500,1.30%,Premier League,Egypt,Liverpool,4,3,H \ M,91,90,84,90,47,80
Karim Benzema,IF,91,ST,CF,95000,6.86%,ROSHN Saudi League,France,Al Ittihad,4,4,M \ M,81,89,84,88,40,80
Willian Borges da Silva,FC Pro,91,LM,"RM,RW,LW",960000,2.54%,Premier League,Brazil,Fulham,4,4,M \ L,93,91,91,94,65,72
Aitana Bonmatí Conca,IF,91,CM,,307000,,Liga F,Spain,FC Barcelona,4,5,H \ H,82,86,84,92,76,75
Mohamed Salah,SIF,91,RW,RM,475000,0.21%,Premier League,Egypt,Liverpool,4,3,H \ M,91,90,84,90,47,81
Bernardo Silva,Thunderstruck,91,CM,RW,122000,,Premier League,Portugal,Manchester City,4,3,H \ H,81,82,89,95,74,72
Alessandro Nesta,Thunderstruck Icon,91,CB,,288000,5.57%,Icons,Italy,EA FC ICONS,2,3,M \ H,79,46,65,72,94,86
Kaká,Thunderstruck Icon,91,CAM,,900000,2.91%,Icons,Brazil,EA FC ICONS,5,4,H \ M,91,87,88,92,46,74
Kenny Dalglish,Thunderstruck Icon S,91,ST,CF,1860000,2.91%,Icons,Scotland,EA FC ICONS,4,5,H \ M,91,92,79,90,44,75
Caroline Graham Hansen,IF,91,RW,RM,506000,,Liga F,Norway,FC Barcelona,5,4,H \ M,90,88,89,91,48,77
Sam Kerr,Radioactive,91,ST,CF,258000,3.37%,Barclays WSL,Australia,Chelsea,4,4,H \ H,86,89,77,91,43,86
Rivaldo,Dynasties ICON,91,LW,"LM,CAM,CF",690000,,Icons,Brazil,EA FC ICONS,4,4,H \ M,90,90,88,92,44,76
Bukayo Saka,UCL TOTGS,91,RW,RM,614000,2.54%,Premier League,England,Arsenal,4,4,H \ M,92,88,87,94,67,78
Patricia Guijarro Gutiérrez,Champions League,91,CM,CDM,420000,,Liga F,Spain,FC Barcelona,4,4,H \ M,82,85,87,90,85,77
Cristiano Ronaldo,Winter Wildcards,91,ST,CF,1790000,,ROSHN Saudi League,Portugal,Al Nassr,5,4,H \ L,87,93,80,89,39,78
Virgil van Dijk,Winter Wildcards,91,CB,ST,1720000,4.44%,Premier League,Holland,Liverpool,2,3,M \ H,80,63,75,75,91,88
Ruud van Nistelrooy,Winter Wildcard ICON,91,GK,,75000,4.44%,Icons,Holland,EA FC ICONS,3,3,M \ M,84,89,83,85,67,90
Gary Lineker,Winter Wildcard ICON,91,LW,"LM,CF,ST",169000,4.44%,Icons,England,EA FC ICONS,4,4,H \ L,90,86,75,89,43,75
Didier Drogba,Winter Wildcard ICON,91,ST,CF,725000,,Icons,Côte d'Ivoire,EA FC ICONS,4,5,H \ H,89,92,76,82,46,91
Alessandro Del Piero,Winter Wildcard ICON,91,CAM,"CF,ST",625300,,Icons,Italy,EA FC ICONS,4,5,H \ M,84,91,90,92,43,67
Bobby Moore,Winter Wildcard ICON,91,CB,,374550,,Icons,England,EA FC ICONS,2,3,M \ H,74,63,83,99,93,84
Thibaut Courtois,Winter Wildcards,91,ST,CF,85000,,LALIGA EA SPORTS,Belgium,Real Madrid,4,4,M \ M,86,90,76,89,54,91
Hugo Sánchez,Winter Wildcard ICON,91,LW,"LM,CAM",385000,1.03%,Icons,Mexico,EA FC ICONS,4,4,H \ M,91,88,82,93,43,75
Alan Shearer,Winter Wildcard ICON,91,CAM,"RM,LM",150000,9.09%,Icons,England,EA FC ICONS,4,4,H \ M,87,90,87,83,49,80
Hugo Lloris,Premium SBC,91,GK,,116850,,Premier League,France,Spurs,1,1,M \ M,91,90,82,92,74,90
Rodri,Versus Ice,91,CM,CDM,1190000,4.44%,Premier League,Spain,Manchester City,4,4,M \ H,86,76,85,87,86,85
Rodri,Versus Fire,91,CDM,CM,860000,,Premier League,Spain,Manchester City,4,4,M \ H,83,81,82,82,88,86
Gianfranco Zola,TOTY Icon,91,CF,ST,600000,,Icons,Italy,EA FC ICONS,4,4,H \ M,90,92,90,93,45,69
Xavier Hernández,TOTY Icon,91,CM,,600000,,Icons,Spain,EA FC ICONS,4,5,H \ H,86,82,97,95,76,76
Nadine Kessler,Hero,90,CM,CAM,195000,2.01%,GPFBL,Germany,HERO,4,4,H \ M,84,87,90,88,80,80
Carlos Tevez,Hero,90,ST,CF,1100000,,Premier League,Argentina,HERO,5,4,H \ H,88,91,83,89,48,91
Bixente Lizarazu,Hero,90,LWB,LB,405000,,Bundesliga,France,HERO,3,3,H \ H,90,61,83,85,85,84
Sam Kerr,normal,90,ST,CF,51500,,Barclays WSL,Australia,Chelsea,4,4,H \ H,85,88,74,90,42,85
Aitana Bonmatí Conca,normal,90,CM,,53500,0.93%,Liga F,Spain,FC Barcelona,4,5,H \ H,81,84,83,91,75,73
Lionel Messi,normal,90,CF,"CAM,ST",50500,,MLS,Argentina,Inter Miami CF,4,4,L \ L,80,87,90,94,33,64
Karim Benzema,normal,90,CF,ST,49500,1.00%,ROSHN Saudi League,France,Al Ittihad,4,4,M \ M,79,88,83,87,39,78
Thibaut Courtois,normal,90,GK,,49000,2.00%,LALIGA EA SPORTS,Belgium,Real Madrid,1,3,M \ M,85,89,76,93,46,90
Harry Kane,normal,90,ST,CF,49000,0.51%,Bundesliga,England,FC Bayern München,3,5,H \ H,69,93,84,83,49,83
Caroline Graham Hansen,normal,90,RW,RM,171000,,Liga F,Norway,FC Barcelona,5,4,H \ M,89,86,88,90,47,75
Robert Lewandowski,normal,90,ST,CF,49750,,LALIGA EA SPORTS,Poland,FC Barcelona,4,4,H \ M,75,91,80,87,44,84
Mohamed Salah,IF,90,RW,RM,398000,1.00%,Premier League,Egypt,Liverpool,4,3,H \ M,90,89,82,89,46,78
Iker Casillas,Icon,90,GK,,134000,,Icons,Spain,EA FC ICONS,1,3,M \ M,90,88,84,93,59,88
Raúl González Blanco,Icon,90,CF,ST,115000,,Icons,Spain,EA FC ICONS,4,4,H \ M,86,90,80,88,45,72
George Best,Icon,90,RW,"RM,CAM,LW",479000,,Icons,Northern Ireland,EA FC ICONS,4,4,M \ M,91,89,82,92,56,68
Andrea Pirlo,Icon,90,CM,CDM,111000,3.48%,Icons,Italy,EA FC ICONS,5,4,M \ M,73,79,93,89,69,66
Xavier Hernández,Icon,90,CM,,136000,,Icons,Spain,EA FC ICONS,4,3,H \ H,80,76,92,90,69,69
Dennis Bergkamp,Icon,90,CF,"CAM,ST",74000,,Icons,Holland,EA FC ICONS,4,4,M \ M,83,89,84,88,35,76
Ruud Gullit,Icon,90,CF,"CM,CAM,ST",2360000,2.08%,Icons,Holland,EA FC ICONS,4,5,H \ M,85,88,88,86,80,87
Rivaldo,Icon,90,LW,"LM,CAM,CF",187000,1.58%,Icons,Brazil,EA FC ICONS,4,2,M \ L,87,88,87,91,42,75
Roberto Carlos,Icon,90,LB,LWB,890000,,Icons,Brazil,EA FC ICONS,3,2,H \ H,91,83,83,80,85,86
Alessandro Del Piero,Icon,90,CF,"CAM,ST",109000,6.03%,Icons,Italy,EA FC ICONS,4,5,M \ M,83,90,87,91,41,66
Lothar Matthäus,Icon,90,CM,"CB,CDM",1200000,11.04%,Icons,Germany,EA FC ICONS,3,4,H \ H,88,87,88,81,89,82
Abily,Icon,90,CM,CAM,334000,5.92%,Icons,France,EA FC ICONS,4,4,M \ H,82,89,90,89,80,78
Bobby Moore,Icon,90,CB,,76500,,Icons,England,EA FC ICONS,2,3,M \ M,70,62,81,76,92,83
Sam Kerr,Nike,90,ST,CF,188000,,Barclays WSL,Australia,Chelsea,4,4,H \ H,85,88,74,90,42,85
Bruno Fernandes,Champions League,90,CAM,CM,100000,2.91%,Premier League,Portugal,Manchester Utd,4,3,H \ H,76,89,93,86,71,80
Edin Džeko,Conference League,90,ST,CF,56000,,Trendyol Süper Lig,Bosnia and Herzegovina,Fenerbahçe,3,5,H \ M,81,91,79,83,48,82
Ousmane Dembélé,Champions League,90,RW,"RM,LW",494000,,Ligue 1 Uber Eats,France,Paris SG,5,5,H \ M,97,82,86,91,42,62
Rúben Dias,Trailblazers,90,CB,,112000,2.61%,Premier League,Portugal,Manchester City,2,4,M \ H,65,40,68,70,90,88
Virgil van Dijk,IF,90,CB,,649000,0.61%,Premier League,Holland,Liverpool,2,3,M \ H,79,61,73,74,90,87
Martin Ødegaard,FUT Centurions,90,CAM,CM,422250,0.61%,Premier League,Norway,Arsenal,5,3,H \ M,80,86,92,91,67,70
Alexandra Popp,FUT Centurions,90,ST,"LM,CF",58500,1.68%,GPFBL,Germany,VfL Wolfsburg,3,5,H \ H,80,90,78,84,54,90
Jairzinho,Squad Found. C.L.,90,RW,"RM,ST",1690000,0.29%,Icons,Brazil,EA FC ICONS,5,4,H \ H,92,90,86,91,50,75
Smith,Squad Found. C.L.,90,ST,CF,221000,11.60%,Icons,England,EA FC ICONS,4,4,H \ M,89,91,86,91,47,78
Javier Zanetti,Squad Found. C.L.,90,RB,"RWB,LB,CM",203000,11.60%,Icons,Argentina,EA FC ICONS,2,4,H \ H,84,62,85,83,87,80
ter Stegen,IF,90,GK,,80000,10.61%,LALIGA EA SPORTS,Germany,FC Barcelona,1,4,M \ M,88,87,90,92,48,87
David Ginola,Triple Threat Hero,90,LM,"CAM,ST,LW",2360000,,Ligue 1 Uber Eats,France,HERO,5,5,H \ M,91,89,89,92,57,85
Morientes,Triple Threat Hero,90,ST,CF,71500,,LALIGA EA SPORTS,Spain,HERO,4,4,H \ M,85,91,78,85,46,88
Selma Bacha,Champions League SBC,90,LB,"LWB,LW",169300,,D1 Arkema,France,OL,4,3,H \ H,90,77,88,86,83,84
Éric Cantona,Thunderstruck Icon,90,CF,ST,930000,1.59%,Icons,France,EA FC ICONS,5,4,H \ M,88,90,87,90,52,89
Edwin van der Sar,Thunderstruck Icon,90,GK,,428000,,Icons,Holland,EA FC ICONS,1,3,M \ M,86,89,83,88,43,94
Luís Figo,Thunderstruck Icon,90,RW,"RM,CAM",409000,,Icons,Portugal,EA FC ICONS,4,4,H \ L,90,85,87,91,40,79
Kim Little,Thunderstruck,90,CM,"CDM,CAM",58000,,Barclays WSL,Scotland,Arsenal,3,4,H \ M,84,83,87,94,66,74
Lauren Hemp,Thunderstruck,90,LW,LM,288000,,Barclays WSL,England,Manchester City,4,3,H \ H,94,82,88,92,68,73
Diego Milito,Cover Star Icon,90,ST,CF,62500,4.58%,Serie A TIM,Argentina,HERO,3,4,H \ L,86,91,78,87,45,82
Abedi Pelé,Cover Star Icon,90,CAM,"LM,CF",584000,,Ligue 1 Uber Eats,Ghana,HERO,4,4,M \ M,92,85,88,92,49,68
Federico Valverde,Radioactive,90,CM,RW,960000,0.21%,LALIGA EA SPORTS,Uruguay,Real Madrid,3,4,H \ H,90,84,87,86,83,84
Ada Hegerberg,IF,90,ST,CF,83000,2.92%,D1 Arkema,Norway,OL,4,4,H \ M,77,90,79,87,40,77
Gheorghe Hagi,Dynasties ICON,90,CAM,"CM,LM",166000,5.14%,Icons,Romania,EA FC ICONS,4,4,M \ L,85,88,90,90,44,67
Lena Oberdorf,Dynasties,90,CDM,CB,120000,7.69%,GPFBL,Germany,VfL Wolfsburg,3,4,M \ H,76,64,78,77,88,90
Paolo Maldini,Dynasties ICON,90,CB,LB,860000,3.04%,Icons,Italy,EA FC ICONS,2,4,M \ H,87,58,76,78,90,77
Antoine Griezmann,UCL TOTGS,90,ST,CF,390000,2.50%,LALIGA EA SPORTS,France,Atlético de Madrid,4,3,H \ H,83,91,91,90,62,78
Jamal Musiala,UCL TOTGS,90,CAM,"CM,LM",599000,,Bundesliga,Germany,FC Bayern München,5,4,M \ M,89,82,82,94,67,66
Alex Morgan,Winter Wildcards,90,ST,CF,117000,2.50%,NWSL,United States,San Diego Wave,4,5,H \ M,84,90,81,90,48,79
Hristo Stoichkov,Winter Wildcard ICON,90,CAM,"RM,CM,LM",390000,,Icons,Bulgaria,EA FC ICONS,4,3,M \ M,87,92,90,92,50,85
Christopher Nkunku,Winter Wildcards,90,ST,"CAM,CF",653000,1.80%,Premier League,France,Chelsea,5,4,M \ M,87,86,87,92,66,71
Fernando Hierro Ruiz,Winter Wildcard ICON,90,CB,,190000,3.06%,Icons,Spain,EA FC ICONS,2,3,M \ H,74,69,76,69,99,85
Emilio Butragueño,Winter Wildcard ICON,90,LW,LM,658000,,Icons,Spain,EA FC ICONS,4,5,H \ L,93,82,85,94,41,68
Ian Wright,Winter Wildcard ICON,90,RW,"RM,LM,LW",634900,,Icons,England,EA FC ICONS,5,4,H \ M,91,86,76,89,49,72
Casemiro,Winter Wildcards,90,ST,CF,113000,,Premier League,Brazil,Manchester Utd,4,5,H \ M,90,88,79,87,50,81
Miroslav Klose,Winter Wildcard ICON,90,CDM,CM,230000,,Icons,Germany,EA FC ICONS,3,4,M \ H,84,60,78,79,88,80
Michael Laudrup,Winter Wildcard ICON,90,RB,"RWB,RM,RW",220000,,Icons,Denmark,EA FC ICONS,4,4,H \ H,90,74,83,88,83,78
Alisson,Winter Wildcards,90,CM,CDM,612900,,Premier League,Brazil,Liverpool,4,4,H \ H,80,83,90,81,83,82
Heung Min Son,Versus Ice,90,CAM,"LM,LW",909000,,Premier League,Korea Republic,Spurs,4,5,H \ M,90,91,87,88,46,74
